"fl_9_do_w2","treatment","race_r","linked_fate","rr_scale","female","educ_r","democrat","republican","ind_other","relig_attend","income","age_r","gun_own"
"Block2",3,1,3,16,0,5,0,1,0,5,5,49,1
"Block4",5,1,3,10,1,3,0,1,0,5,3,54,0
"DefaultQuestionBlock",1,1,2,13,0,3,0,0,1,1,4,38,0
"Block4",5,1,2,15,0,6,0,1,0,2,6,34,1
"Block4",5,1,3,13,0,6,0,1,0,2,2,27,0
"Block1",2,1,3,12,0,5,0,1,0,1,4,72,0
"Block1",2,1,3,9,1,5,1,0,0,5,3,27,0
"Block3",4,1,3,4,0,3,0,0,1,2,1,69,0
"Block3",4,1,3,4,1,5,1,0,0,1,6,43,1
"Block2",3,0,3,6,1,2,0,0,1,6,4,32,0
"Block2",3,0,4,6,1,5,1,0,0,1,3,32,0
"Block3",4,1,4,11,1,5,0,1,0,1,2,31,0
"Block3",4,0,3,9,1,5,0,0,1,4,1,21,0
"DefaultQuestionBlock",1,1,2,16,1,4,0,1,0,1,4,41,1
"Block3",4,0,1,6,1,2,1,0,0,1,2,23,0
"Block3",4,1,3,12,0,5,0,0,1,1,5,30,0
"Block2",3,0,1,10,1,4,1,0,0,3,3,25,0
"Block4",5,1,3,7,1,3,1,0,0,1,6,40,1
"DefaultQuestionBlock",1,0,4,6,1,5,1,0,0,1,4,25,0
"DefaultQuestionBlock",1,1,2,16,0,2,1,0,0,1,2,30,0
"Block2",3,1,2,6,0,5,0,0,1,1,3,41,1
"Block4",5,1,3,11,1,3,0,1,0,1,2,53,0
"DefaultQuestionBlock",1,0,2,9,1,3,1,0,0,4,2,38,0
"Block2",3,1,3,16,0,5,0,1,0,5,2,28,1
"DefaultQuestionBlock",1,1,4,16,0,3,0,1,0,2,1,29,0
"Block2",3,1,4,10,0,5,0,0,1,6,2,51,NA
"DefaultQuestionBlock",1,0,2,11,1,5,1,0,0,1,1,44,0
"Block1",2,1,1,8,1,2,1,0,0,1,3,28,0
"Block1",2,1,3,16,0,6,0,1,0,6,6,71,1
"Block2",3,0,2,10,0,5,1,0,0,3,2,25,0
"DefaultQuestionBlock",1,0,3,10,0,2,0,0,1,2,3,37,0
"DefaultQuestionBlock",1,0,3,5,1,3,0,0,1,2,3,19,0
"Block3",4,0,3,10,0,2,0,0,1,2,2,40,0
"Block3",4,0,2,10,0,2,1,0,0,1,3,24,1
"Block3",4,1,2,5,1,5,1,0,0,1,2,32,0
"Block1",2,0,2,9,1,3,1,0,0,4,2,25,0
"Block2",3,0,4,10,0,5,0,0,1,2,6,40,1
"DefaultQuestionBlock",1,1,2,12,0,5,0,1,0,4,3,32,0
"DefaultQuestionBlock",1,1,2,14,1,6,0,1,0,2,6,51,1
"DefaultQuestionBlock",1,1,3,8,1,4,0,0,1,1,2,39,0
"Block1",2,1,2,16,0,2,1,0,0,1,2,31,1
"Block4",5,0,2,4,0,6,1,0,0,5,6,44,0
"Block3",4,0,3,13,1,5,0,0,1,1,2,30,0
"Block1",2,1,2,4,0,5,1,0,0,1,1,59,0
"Block2",3,0,3,4,1,3,0,0,1,1,4,42,1
"Block3",4,0,4,5,1,3,1,0,0,2,2,19,1
"Block2",3,1,2,16,1,6,0,1,0,1,3,56,1
"Block2",3,0,4,5,0,3,0,0,1,1,2,40,0
"Block4",5,1,3,9,0,5,0,1,0,1,3,53,0
"Block1",2,0,4,4,1,3,1,0,0,5,4,43,0
"Block3",4,0,2,9,0,5,0,0,1,3,3,22,0
"DefaultQuestionBlock",1,1,3,11,0,5,0,1,0,4,3,31,0
"Block4",5,0,4,5,0,2,1,0,0,1,3,30,0
"Block1",2,0,2,11,1,2,0,0,1,6,2,65,0
"Block2",3,1,4,10,0,5,1,0,0,1,1,64,0
"Block2",3,1,2,8,1,5,0,0,1,1,5,44,0
"DefaultQuestionBlock",1,1,2,4,1,5,0,0,1,1,2,30,0
"DefaultQuestionBlock",1,0,4,7,0,3,0,0,1,1,1,19,0
"Block3",4,1,3,8,0,5,1,0,0,5,6,52,0
"Block2",3,1,3,8,1,4,0,0,1,2,2,31,1
"Block3",4,1,3,8,1,3,1,0,0,1,3,33,0
"Block1",2,1,3,8,0,5,0,1,0,1,6,39,0
"DefaultQuestionBlock",1,1,2,6,1,5,0,0,1,1,2,36,1
"DefaultQuestionBlock",1,0,2,10,1,5,0,0,1,1,3,39,0
"Block4",5,1,3,11,1,3,0,1,0,1,3,47,0
"DefaultQuestionBlock",1,0,3,8,0,3,0,0,1,2,3,29,1
"Block3",4,1,2,6,0,6,1,0,0,4,4,34,0
"Block3",4,1,2,6,1,6,0,0,1,6,3,47,0
"Block1",2,1,3,8,0,5,0,0,1,1,3,33,0
"Block1",2,1,2,6,0,6,0,0,1,1,3,68,0
"Block3",4,0,3,7,1,5,0,0,1,5,2,30,0
"Block4",5,1,1,4,1,4,1,0,0,1,1,60,1
"Block2",3,1,2,13,1,5,0,1,0,5,3,65,1
"Block3",4,1,2,NA,1,5,1,0,0,5,4,35,0
"Block2",3,1,4,12,0,6,1,0,0,2,5,34,0
"Block3",4,1,2,14,1,5,0,1,0,2,3,47,1
"Block3",4,1,2,8,0,5,1,0,0,2,2,32,0
"Block2",3,0,4,8,1,2,1,0,0,4,2,22,0
"Block3",4,1,2,9,1,4,0,0,1,1,2,37,1
"Block1",2,0,1,6,1,2,1,0,0,1,3,47,0
"Block4",5,1,2,14,1,5,0,1,0,2,5,54,0
"Block1",2,1,2,10,1,2,1,0,0,5,2,24,0
"DefaultQuestionBlock",1,1,2,5,1,6,1,0,0,1,3,33,0
"Block3",4,1,3,10,0,6,0,0,1,1,1,39,1
"DefaultQuestionBlock",1,1,2,13,0,2,0,1,0,5,3,59,1
"Block4",5,1,3,12,1,5,1,0,0,4,2,33,1
"DefaultQuestionBlock",1,1,2,7,1,5,1,0,0,1,4,38,1
"Block1",2,1,3,4,1,5,1,0,0,2,5,32,0
"Block4",5,1,3,6,0,3,1,0,0,1,3,37,0
